2025-07-22 04:32:08 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-22 04:32:08 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-22 04:32:08 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-22 04:32:09 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-22 06:34:51 | __main__ | INFO | Starting data preparation flow...
2025-07-22 06:34:51 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 06:34:55 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-22 06:34:55 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-22 06:34:55 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-22 06:34:55 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-22 06:34:55 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-22 06:34:55 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-22 06:34:56 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-22 13:50:37 | __main__ | INFO | Starting Optuna optimization with 2 trials...
2025-07-22 14:06:47 | __main__ | INFO | Starting Optuna optimization with 2 trials...
2025-07-22 14:06:49 | __main__ | INFO | Optuna optimization completed.
2025-07-22 14:07:30 | __main__ | INFO | Starting Optuna optimization with 2 trials...
2025-07-22 14:07:32 | __main__ | INFO | Optuna optimization completed.
2025-07-22 14:07:32 | __main__ | INFO | MLflow logging for the best model...
2025-07-22 14:07:37 | __main__ | INFO | Training complete - RMSE on test set: 6.5522
2025-07-22 14:14:00 | __main__ | INFO | Starting Optuna optimization with 2 trials...
2025-07-22 14:14:02 | __main__ | INFO | Optuna optimization completed.
2025-07-22 14:14:02 | __main__ | INFO | MLflow logging for the best model...
2025-07-22 14:14:04 | __main__ | INFO | Training complete - RMSE on test set: 6.1948
2025-07-22 14:51:44 | __main__ | INFO | Starting Optuna optimization with 20 trials...
2025-07-22 14:52:42 | __main__ | INFO | Optuna optimization completed.
2025-07-22 14:52:42 | __main__ | INFO | Training complete - RMSE on test set: 6.0435
2025-07-22 15:06:33 | __main__ | INFO | Searching for best model in experiment: stock_price_prediction
2025-07-22 15:06:33 | __main__ | INFO | Registering best model from run_id=c7fcd456754d474d884a1f74024cbb91 with RMSE=6.0435
2025-07-22 15:10:48 | __main__ | INFO | Searching for best model in experiment: stock_price_prediction
2025-07-22 15:10:48 | __main__ | INFO | Registering best model from run_id=c7fcd456754d474d884a1f74024cbb91 with RMSE=6.0435
2025-07-22 15:10:48 | __main__ | INFO | Model registered: name=stock-ema-model, version=1
2025-07-22 16:12:23 | __main__ | INFO | Starting data preparation flow...
2025-07-22 16:12:23 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 16:12:28 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-22 16:12:28 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-22 16:12:28 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-22 16:12:28 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-22 16:12:28 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-22 16:12:28 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-22 16:12:29 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-22 16:14:11 | __main__ | INFO | Starting data preparation flow...
2025-07-22 16:14:11 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 16:14:14 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-22 16:14:14 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-22 16:14:14 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-22 16:14:14 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-22 16:14:14 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-22 16:14:14 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-22 16:14:15 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-22 16:15:08 | __main__ | INFO | Starting Optuna optimization with 20 trials...
2025-07-22 16:16:03 | __main__ | INFO | Optuna optimization completed.
